beneficiary_id,state,location_type,program,age,attendance_rate,outcome_score,engagement_level
B00001,Uttar Pradesh,Rural,Women Empowerment,20,74.1,30.0,Medium
B00002,Jharkhand,Rural,Education,62,100.0,50.6,High
B00003,West Bengal,Rural,Community Development,67,77.8,71.7,Medium
B00004,Delhi,Rural,Livelihood,46,61.2,71.1,Medium
B00005,Delhi,Rural,Education,39,72.5,80.9,Medium
B00006,Uttar Pradesh,Urban,Healthcare,42,78.1,64.3,Medium
B00007,West Bengal,Urban,Healthcare,30,64.9,56.5,Medium
B00008,Jharkhand,Rural,Livelihood,20,99.4,66.2,High
B00009,Jharkhand,Urban,Livelihood,30,100.0,72.5,High
B00010,Bihar,Rural,Livelihood,49,84.2,75.2,High
B00011,Bihar,Urban,Livelihood,47,77.9,61.0,Medium
B00012,Bihar,Rural,Community Development,48,61.2,84.6,Medium
B00013,Rajasthan,Urban,Community Development,44,98.1,63.3,High
B00014,Rajasthan,Rural,Livelihood,11,79.0,59.8,Medium
B00015,Bihar,Urban,Community Development,45,74.2,64.4,Medium
B00016,Bihar,Urban,Community Development,60,84.3,87.0,High
B00017,West Bengal,Rural,Community Development,46,70.4,70.1,Medium
B00018,Jharkhand,Rural,Healthcare,42,79.9,62.3,Medium
B00019,Uttar Pradesh,Rural,Livelihood,21,59.2,85.0,Low
B00020,Jharkhand,Rural,Healthcare,55,92.1,100.0,High
B00021,Uttar Pradesh,Urban,Education,35,76.6,74.9,Medium
B00022,Uttar Pradesh,Rural,Education,23,93.1,89.3,High
B00023,Delhi,Urban,Women Empowerment,37,75.4,86.5,Medium
B00024,Rajasthan,Rural,Livelihood,15,76.2,63.5,Medium
B00025,West Bengal,Urban,Community Development,63,62.2,72.4,Medium
B00026,Uttar Pradesh,Urban,Women Empowerment,50,87.9,54.0,High
B00027,Jharkhand,Rural,Education,27,66.6,69.1,Medium
B00028,Rajasthan,Rural,Community Development,55,71.7,63.2,Medium
B00029,Rajasthan,Urban,Livelihood,11,78.0,66.4,Medium
B00030,West Bengal,Rural,Livelihood,31,79.6,61.5,Medium
B00031,Bihar,Rural,Community Development,47,55.8,68.0,Low
B00032,Uttar Pradesh,Urban,Women Empowerment,9,75.0,79.5,Medium
B00033,Uttar Pradesh,Rural,Education,50,88.3,70.3,High
B00034,Bihar,Urban,Education,57,73.1,45.9,Medium
B00035,Uttar Pradesh,Urban,Livelihood,43,75.1,61.6,Medium
B00036,Uttar Pradesh,Rural,Education,20,80.1,50.7,High
B00037,Jharkhand,Urban,Education,52,76.4,75.4,Medium
B00038,Delhi,Urban,Women Empowerment,28,64.6,79.0,Medium
B00039,Delhi,Rural,Education,52,77.5,75.6,Medium
B00040,Uttar Pradesh,Urban,Education,45,90.9,61.0,High
B00041,Bihar,Rural,Livelihood,13,64.3,75.5,Medium
B00042,Rajasthan,Rural,Education,13,73.1,65.4,Medium
B00043,Jharkhand,Urban,Healthcare,8,60.0,56.1,Low
B00044,Uttar Pradesh,Rural,Community Development,12,90.2,82.4,High
B00045,West Bengal,Urban,Women Empowerment,25,76.8,83.5,Medium
B00046,West Bengal,Rural,Community Development,9,66.9,85.3,Medium
