donation_id,donation_date,donor_type,state,program,channel,amount_inr,repeat_donor
D00001,2025-02-18,Corporate,West Bengal,Healthcare,Online,3975,False
D00002,2026-02-27,Foundation,West Bengal,Community Development,Online,1022,False
D00003,2025-12-24,Community,Rajasthan,Education,UPI,250,False
D00004,2025-08-28,Individual,Rajasthan,Livelihood,UPI,478,False
D00005,2025-08-25,Individual,West Bengal,Community Development,Campaign Event,5228,False
D00006,2026-04-14,Corporate,Delhi,Community Development,Campaign Event,1332,False
D00007,2025-02-16,Individual,Jharkhand,Healthcare,Bank Transfer,1025,True
D00008,2026-01-16,Foundation,Delhi,Women Empowerment,Campaign Event,6171,False
D00009,2025-04-21,Individual,Jharkhand,Education,UPI,4649,False
D00010,2025-02-21,Individual,West Bengal,Education,Bank Transfer,1833,True
D00011,2025-10-15,Individual,Delhi,Healthcare,Campaign Event,1444,False
D00012,2026-06-17,Foundation,Jharkhand,Community Development,Online,1630,True
D00013,2026-02-06,Individual,Bihar,Women Empowerment,UPI,2134,False
D00014,2026-02-20,Individual,West Bengal,Livelihood,Campaign Event,5976,True
D00015,2026-01-27,Individual,Delhi,Healthcare,UPI,2471,False
D00016,2026-03-06,Individual,Delhi,Education,Campaign Event,3103,False
D00017,2025-10-08,Individual,Jharkhand,Healthcare,Online,4326,False
D00018,2025-03-11,Corporate,Uttar Pradesh,Education,UPI,749,True
D00019,2026-04-04,Individual,Jharkhand,Education,Campaign Event,3171,False
D00020,2025-09-03,Foundation,West Bengal,Women Empowerment,UPI,1443,False
D00021,2025-10-01,Foundation,Delhi,Education,Campaign Event,273,True
D00022,2025-07-22,Individual,Bihar,Education,Bank Transfer,365,True
D00023,2025-04-10,Individual,Delhi,Livelihood,UPI,839,True
D00024,2026-05-22,Individual,Uttar Pradesh,Healthcare,Bank Transfer,2681,True
D00025,2026-03-03,Individual,Delhi,Livelihood,Campaign Event,1960,False
D00026,2025-12-18,Individual,Jharkhand,Education,Online,2067,False
D00027,2025-08-08,Community,Bihar,Healthcare,Bank Transfer,7776,False
D00028,2026-03-26,Community,West Bengal,Livelihood,Online,695,False
D00029,2025-10-25,Corporate,Uttar Pradesh,Women Empowerment,UPI,1763,False
D00030,2025-08-31,Individual,Rajasthan,Livelihood,Online,2262,False
D00031,2025-09-03,Corporate,West Bengal,Livelihood,Bank Transfer,1036,False
D00032,2025-05-05,Corporate,Uttar Pradesh,Livelihood,Campaign Event,1839,True
D00033,2025-02-20,Individual,Jharkhand,Healthcare,Bank Transfer,542,False
D00034,2025-10-30,Corporate,Bihar,Healthcare,Online,5182,False
D00035,2026-04-30,Individual,Bihar,Livelihood,Online,1080,False
D00036,2025-02-04,Individual,Rajasthan,Education,Online,8259,False
D00037,2026-04-14,Individual,West Bengal,Women Empowerment,Campaign Event,1757,False
D00038,2026-03-28,Individual,Bihar,Women Empowerment,UPI,3892,True
D00039,2025-06-01,Individual,Uttar Pradesh,Healthcare,Campaign Event,1729,False
D00040,2025-12-11,Foundation,Uttar Pradesh,Healthcare,Online,1759,True
D00041,2025-04-01,Community,Delhi,Healthcare,Bank Transfer,1162,False
D00042,2026-02-18,Individual,Uttar Pradesh,Women Empowerment,Online,1968,True
D00043,2026-01-18,Foundation,Uttar Pradesh,Women Empowerment,Bank Transfer,2285,False
D00044,2025-07-13,Community,Jharkhand,Education,UPI,1000,False
D00045,2025-02-07,Individual,Uttar Pradesh,Livelihood,Campaign Event,1639,True
D00046,2026-06-15,Individual,Rajasthan,Education,Bank Transfer,1139,False
D00047,2025-09-01,Individual,West Bengal,Livelihood,Campaign Event,10100,False
D00048,2026-05-03,Individual,West Bengal,Healthcare,UPI,1683,False
D00049,2026-01-06,Corporate,Uttar Pradesh,Healthcare,Bank Transfer,5736,True
D00050,2026-03-01,Individual,West Bengal,Livelihood,Campaign Event,1554,True
D00051,2026-02-19,Individual,Rajasthan,Healthcare,Bank Transfer,2186,False
D00052,2025-04-17,Individual,Uttar Pradesh,Healthcare,Online,668,False
D00053,2025-07-18,Individual,West Bengal,Women Empowerment,Campaign Event,1287,False
D00054,2025-09-12,Community,Delhi,Community Development,Campaign Event,2108,True
D00055,2025-09-29,Individual,West Bengal,Education,Online,5914,False
D00056,2025-01-24,Individual,Delhi,Healthcare,Campaign Event,2126,True
D00057,2025-10-26,Individual,West Bengal,Community Development,Campaign Event,5081,True
D00058,2025-03-26,Individual,Bihar,Livelihood,Campaign Event,2911,False
D00059,2026-02-10,Individual,Delhi,Healthcare,Bank Transfer,6100,True
D00060,2026-01-08,Individual,Uttar Pradesh,Livelihood,UPI,1722,False
D00061,2026-05-19,Individual,Uttar Pradesh,Education,UPI,10810,False
D00062,2026-02-11,Individual,Uttar Pradesh,Education,UPI,1251,False
D00063,2025-07-20,Foundation,Delhi,Women Empowerment,UPI,1013,False
D00064,2026-06-13,Corporate,Bihar,Livelihood,UPI,726,True
D00065,2025-08-13,Corporate,West Bengal,Women Empowerment,UPI,10340,True
D00066,2025-06-27,Corporate,Jharkhand,Healthcare,UPI,3328,True
D00067,2026-05-10,Corporate,West Bengal,Community Development,UPI,1401,False
D00068,2025-07-22,Individual,West Bengal,Livelihood,Online,4593,False
D00069,2025-02-11,Individual,Bihar,Women Empowerment,Online,3015,True
D00070,2025-09-14,Individual,Bihar,Education,Campaign Event,7865,True
D00071,2026-03-11,Individual,Delhi,Education,Campaign Event,564,True
D00072,2025-04-14,Foundation,Delhi,Women Empowerment,UPI,1475,False
D00073,2025-09-10,Individual,Uttar Pradesh,Community Development,Online,1272,False
D00074,2025-03-12,Corporate,West Bengal,Community Development,Campaign Event,410,False
D00075,2026-01-10,Foundation,Jharkhand,Healthcare,Online,3987,False
D00076,2025-09-17,Individual,West Bengal,Education,Bank Transfer,1470,True
D00077,2025-06-30,Community,Bihar,Community Development,Bank Transfer,3135,False
D00078,2025-05-04,Individual,West Bengal,Women Empowerment,Online,10566,False
D00079,2025-11-05,Foundation,Uttar Pradesh,Healthcare,Campaign Event,1381,True
D00080,2026-01-01,Individual,Delhi,Women Empowerment,UPI,1312,False
D00081,2026-05-29,Individual,Delhi,Community Development,Bank Transfer,1968,True
D00082,2025-08-27,Individual,West Bengal,Healthcare,UPI,3774,False
D00083,2025-03-29,Individual,Uttar Pradesh,Women Empowerment,Online,1177,False
D00084,2026-03-31,Individual,Uttar Pradesh,Women Empowerment,Bank Transfer,1121,False
D00085,2025-12-10,Community,Delhi,Livelihood,UPI,3978,False
D00086,2026-01-18,Corporate,Delhi,Women Empowerment,Bank Transfer,2391,True
D00087,2025-02-23,Individual,Uttar Pradesh,Healthcare,Campaign Event,388,False
D00088,2025-06-20,Individual,Uttar Pradesh,Community Development,Online,718,False
