volunteer_id,state,program,skill_area,hours_contributed,months_active
V00001,Bihar,Women Empowerment,Field Operations,18.9,15
V00002,Uttar Pradesh,Livelihood,Teaching,16.1,18
V00003,Jharkhand,Livelihood,Field Operations,18.3,22
V00004,Delhi,Education,Fundraising,93.1,13
V00005,Bihar,Livelihood,Field Operations,45.3,15
V00006,Jharkhand,Livelihood,Technology,27.6,15
V00007,Rajasthan,Community Development,Technology,44.9,1
V00008,Delhi,Healthcare,Teaching,45.2,18
V00009,Uttar Pradesh,Healthcare,Technology,78.9,1
V00010,Uttar Pradesh,Education,Fundraising,7.0,14
V00011,Delhi,Livelihood,Field Operations,19.3,24
V00012,Uttar Pradesh,Women Empowerment,Technology,4.0,19
V00013,Rajasthan,Healthcare,Teaching,84.3,13
V00014,Rajasthan,Women Empowerment,Field Operations,65.3,8
V00015,Delhi,Community Development,Teaching,12.9,21
V00016,Rajasthan,Education,Healthcare,42.6,21
V00017,Rajasthan,Livelihood,Healthcare,19.0,9
V00018,Bihar,Women Empowerment,Field Operations,18.6,3
V00019,Delhi,Education,Teaching,145.7,14
V00020,Jharkhand,Education,Field Operations,26.9,16
V00021,Delhi,Healthcare,Healthcare,12.0,23
V00022,Delhi,Education,Technology,20.3,22
V00023,Delhi,Healthcare,Teaching,57.8,6
V00024,West Bengal,Education,Healthcare,35.6,7
V00025,Uttar Pradesh,Community Development,Technology,41.9,24
V00026,Jharkhand,Livelihood,Technology,28.0,8
V00027,Uttar Pradesh,Healthcare,Field Operations,44.7,12
V00028,Rajasthan,Women Empowerment,Field Operations,51.5,8
V00029,Bihar,Education,Fundraising,19.7,10
V00030,Bihar,Livelihood,Healthcare,25.3,14
V00031,Bihar,Women Empowerment,Healthcare,58.8,8
V00032,Delhi,Community Development,Field Operations,41.0,10
V00033,Jharkhand,Healthcare,Technology,84.4,9
V00034,Rajasthan,Livelihood,Field Operations,61.1,3
V00035,Delhi,Women Empowerment,Fundraising,14.8,19
V00036,Uttar Pradesh,Women Empowerment,Fundraising,20.9,22
V00037,Delhi,Education,Field Operations,55.0,12
V00038,Bihar,Community Development,Technology,18.5,5
V00039,Delhi,Healthcare,Healthcare,42.5,16
V00040,West Bengal,Healthcare,Fundraising,64.0,13
V00041,Bihar,Education,Healthcare,50.9,14
V00042,West Bengal,Education,Technology,16.6,15
V00043,Uttar Pradesh,Healthcare,Teaching,21.7,18
V00044,West Bengal,Education,Field Operations,51.8,1
V00045,West Bengal,Women Empowerment,Field Operations,108.0,3
V00046,West Bengal,Livelihood,Teaching,37.4,3
V00047,West Bengal,Healthcare,Technology,65.2,4
V00048,West Bengal,Livelihood,Teaching,51.2,24
V00049,Uttar Pradesh,Women Empowerment,Healthcare,26.3,18
V00050,Bihar,Education,Healthcare,65.6,16
V00051,Delhi,Healthcare,Fundraising,12.2,17
V00052,Jharkhand,Community Development,Field Operations,63.0,1
V00053,Jharkhand,Education,Fundraising,53.0,6
V00054,West Bengal,Community Development,Healthcare,28.0,20
V00055,Uttar Pradesh,Community Development,Teaching,19.7,12
V00056,Rajasthan,Healthcare,Field Operations,29.6,13
V00057,Delhi,Healthcare,Healthcare,25.1,19
V00058,Uttar Pradesh,Healthcare,Fundraising,33.8,2
V00059,West Bengal,Livelihood,Teaching,31.5,20
V00060,Bihar,Healthcare,Healthcare,28.0,17
V00061,Delhi,Women Empowerment,Fundraising,11.8,10
V00062,West Bengal,Healthcare,Field Operations,17.8,12
V00063,West Bengal,Community Development,Healthcare,71.4,2
V00064,Uttar Pradesh,Community Development,Fundraising,28.5,5
V00065,Bihar,Livelihood,Field Operations,34.2,6
V00066,Bihar,Livelihood,Healthcare,30.4,22
V00067,Bihar,Education,Healthcare,85.5,3
V00068,West Bengal,Education,Teaching,24.7,7
V00069,West Bengal,Livelihood,Field Operations,23.5,4
V00070,Jharkhand,Livelihood,Teaching,53.6,7
V00071,Jharkhand,Healthcare,Healthcare,44.4,1
V00072,Uttar Pradesh,Education,Teaching,54.5,7
V00073,Uttar Pradesh,Community Development,Technology,52.5,18
V00074,Bihar,Livelihood,Healthcare,66.6,19
V00075,West Bengal,Livelihood,Technology,16.3,10
V00076,Bihar,Livelihood,Technology,50.8,17
V00077,Bihar,Livelihood,Teaching,23.6,15
V00078,West Bengal,Women Empowerment,Healthcare,9.2,22
V00079,Jharkhand,Women Empowerment,Teaching,52.3,20
V00080,Delhi,Livelihood,Teaching,50.6,6
V00081,Uttar Pradesh,Education,Fundraising,39.4,15
V00082,Bihar,Community Development,Healthcare,67.2,19
V00083,Delhi,Healthcare,Teaching,23.8,8
V00084,Delhi,Education,Fundraising,57.2,14
V00085,Jharkhand,Education,Fundraising,36.1,10
V00086,Bihar,Women Empowerment,Field Operations,37.7,8
V00087,Uttar Pradesh,Healthcare,Technology,10.3,5
V00088,Bihar,Education,Healthcare,67.6,1
V00089,Delhi,Community Development,Fundraising,49.5,18
V00090,Uttar Pradesh,Healthcare,Teaching,56.0,20
V00091,Uttar Pradesh,Community Development,Healthcare,21.7,16
V00092,Jharkhand,Community Development,Fundraising,46.3,6
V00093,Delhi,Education,Teaching,36.0,1
V00094,Uttar Pradesh,Women Empowerment,Field Operations,51.0,16
V00095,West Bengal,Women Empowerment,Fundraising,45.1,5
V00096,Delhi,Education,Technology,94.5,14
V00097,Delhi,Healthcare,Healthcare,78.8,24
V00098,Delhi,Livelihood,Field Operations,33.6,1
V00099,Bihar,Education,Healthcare,52.3,14
V00100,Delhi,Women Empowerment,Field Operations,31.9,24
V00101,Jharkhand,Healthcare,Fundraising,66.2,9
V00102,Bihar,Community Development,Technology,36.9,20
V00103,Jharkhand,Community Development,Healthcare,29.3,20
V00104,Bihar,Women Empowerment,Field Operations,45.9,12
V00105,Jharkhand,Education,Teaching,75.5,8
V00106,Bihar,Education,Teaching,69.1,17
V00107,Uttar Pradesh,Education,Fundraising,30.3,15
V00108,Delhi,Livelihood,Field Operations,90.0,12
V00109,Jharkhand,Women Empowerment,Field Operations,22.5,5
V00110,West Bengal,Education,Field Operations,27.1,18
V00111,Delhi,Women Empowerment,Fundraising,64.7,6
V00112,Bihar,Education,Field Operations,9.2,4
V00113,Delhi,Healthcare,Fundraising,40.4,2
V00114,West Bengal,Livelihood,Fundraising,33.5,11
V00115,Bihar,Community Development,Teaching,92.9,3
V00116,West Bengal,Women Empowerment,Technology,19.9,9
V00117,Delhi,Livelihood,Healthcare,21.4,6
V00118,Bihar,Education,Teaching,99.9,12
V00119,West Bengal,Healthcare,Healthcare,33.7,19
V00120,Bihar,Women Empowerment,Technology,73.9,11
V00121,Delhi,Education,Healthcare,30.5,14
V00122,Uttar Pradesh,Women Empowerment,Healthcare,26.4,4
V00123,Jharkhand,Women Empowerment,Healthcare,75.9,3
V00124,Bihar,Women Empowerment,Fundraising,113.0,24
V00125,Bihar,Healthcare,Technology,79.1,15
V00126,Jharkhand,Healthcare,Technology,29.3,1
V00127,Rajasthan,Education,Teaching,39.3,14
V00128,Bihar,Healthcare,Healthcare,22.0,1
V00129,Delhi,Livelihood,Technology,24.5,2
V00130,West Bengal,Education,Healthcare,23.7,9
V00131,Uttar Pradesh,Livelihood,Teaching,31.0,16
V00132,Delhi,Healthcare,Healthcare,43.1,15
V00133,Rajasthan,Livelihood,Technology,40.3,19
V00134,West Bengal,Healthcare,Technology,59.6,5
V00135,Uttar Pradesh,Community Development,Teaching,44.4,5
V00136,West Bengal,Healthcare,Technology,56.5,13
V00137,West Bengal,Community Development,Teaching,61.5,21
V00138,Jharkhand,Education,Technology,29.7,18
V00139,Delhi,Education,Fundraising,36.5,17
V00140,Rajasthan,Education,Teaching,175.9,3
V00141,Rajasthan,Livelihood,Healthcare,28.2,22
V00142,Rajasthan,Community Development,Field Operations,58.3,24
V00143,West Bengal,Education,Fundraising,17.1,14
V00144,Delhi,Women Empowerment,Technology,62.5,9
V00145,Bihar,Women Empowerment,Technology,25.4,16
V00146,Bihar,Healthcare,Teaching,41.1,16
V00147,Rajasthan,Healthcare,Field Operations,15.1,23
V00148,Delhi,Community Development,Healthcare,38.8,3
V00149,Bihar,Women Empowerment,Technology,39.2,13
V00150,Uttar Pradesh,Healthcare,Fundraising,35.7,18
V00151,Bihar,Community Development,Fundraising,51.3,9
V00152,Jharkhand,Livelihood,Healthcare,72.4,21
V00153,Jharkhand,Education,Field Operations,21.3,2
V00154,Delhi,Community Development,Teaching,36.2,3
V00155,West Bengal,Community Development,Field Operations,15.9,19
V00156,Delhi,Livelihood,Healthcare,11.0,4
V00157,Rajasthan,Women Empowerment,Field Operations,44.0,11
